id,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
76249,0zrpczV6BD4hopivjRyRHk,Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,Verdi: Aida,"\"Verdi: Aida, Act 1:\"\" Sì","corre voce che l'Etiope ardisca\"\" (Ramfis",,26,95333,False,0.296,0.138,7,-24.527,1,0.0448,0.985,0.00519,0.235,0.194,76.691
76298,2AczNQ6f0bqfBU3oEnuB0e,"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicola Martinucci;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra",Verdi: Aida,"\"Verdi: Aida, Act 1: \"\"Alta cagion v'aduna\"\" (Il Re",Messaggero,,Ramfis,Coro,Aida,"Amneris)\"",25,204093,False,0.347,0.265,0,-16.853,1,0.0893,0.983
76299,5Htiwvreftu63VjswZuGNv,"Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Fiorenza Cossotto;Luigi Roni;Montserrat Caballé;Nicolai Ghiaurov;Plácido Domingo;New Philharmonia Orchestra",Verdi: Aida,"\"Verdi: Aida, Act 1: \"\"Su! del Nilo al sacro lido\"\" (Il Re",Ramfis,,Radamès,Amneris,"Coro)\"",26,187866,False,0.376,0.404,9,-11.763,1,0.0716,0.979,0.159
76346,7x56g3SKfKeE4XRg9MsTyi,Giuseppe Verdi;Carlo Rizzi;Edita Gruberova;London Symphony Orchestra;Neil Shicoff,40 Most Beautiful Arias,"\"Verdi: La traviata, Act 1: \"\"Un dì felice\"\" (Alfredo",Violetta,,25,189239,False,0.324,0.149,5,-18.318,1,0.051,0.976,1.33e-05,0.136,0.154,95.073
76349,54yvP5Iqo4sxdoXUeWVzzb,Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,Verdi: Aida,"\"Verdi: Aida, Act 1: \"\"Vieni",o diletta,,Aida,"Radamès)\"",25,165440,False,0.353,0.213,4,-15.988,0,0.0428,0.982,0.000161,0.34
76445,4esQg7skEqenIr8UETuDHf,Giacomo Puccini;Tom Krause;Pier Francesco Poli;Piero de Palma;London Philharmonic Orchestra;Zubin Mehta,Puccini: Turandot,"\"Turandot / Act 2: \"\"Olà",Pang! Olà,,23,197466,False,0.429,0.285,7,-18.528,0,0.0523,0.961,0.00137,0.189,0.369,121.165
76479,2FLzp0ZpJ5QVWeS1lhKmSE,Léo Delibes;Natalie Dessay;Delphine Haidan;Michel Plasson;Orchestre Du Capitole De Toulouse,Lakme Dessay Plasson,"\"Delibes: Lakmé, Act I: \"\"Dôme épais","le jasmin\"\" (Lakmé",,23,287760,False,0.358,0.153,11,-17.618,1,0.06,0.976,0.000112,0.103,0.0474,131.721
76547,4aAeGUBWayg0PVqW3xuf8n,Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,Verdi: Aida,"\"Verdi: Aida, Act 1: \"\"Danza sacra delle sacerdotesse\"\" (Sacerdotesse",Ramfis,,23,131706,False,0.148,0.00377,3,-40.046,1,0.0384,0.986,0.447,0.0928,0.239,81.078
76549,1L969l5J5Rjz5NIpxYxDhg,Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,Verdi: Aida,"\"Verdi: Aida, Act 2: \"\"Gloria all'Egitto","ad Iside\"\" (Il Re",,Prigionieri,Popolo,Ramfis,Sacerdoti,Aida,Radamès,Amneris,"Amonasro)\"",22,179626,False,0.187,0.45,10
76584,0izI75lnCS9WS8sDzBMC5Z,Carlo Pallavicino;Lea Desandre;Jupiter;Thomas Dunford,"\"Amazone - Pallavicino: L'Antiope: \"\"Sdegni","furori barbari\"\"\"","\"Pallavicino: L'Antiope: \"\"Sdegni",,21,73666,False,0.398,0.33,1,-14.102,1,0.0665,0.806,0.000768,0.0834,0.435,133.106
